,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat
199,全聯實業股份有限公司,八德永豐分公司,桃園市八德區高明里永豐路560、562、564號,1,False,121.27204959999999,24.9752697
200,全聯實業股份有限公司,內埔昭勝分公司,屏東縣內埔鄉龍潭村24鄰昭勝路410號、412號,1,False,120.60129479999999,22.677448599999998
201,全聯實業股份有限公司,桃園福元分公司,桃園市桃園區忠義里大業路1段136號,1,False,121.31641730000001,25.006775999999995
202,全聯實業股份有限公司,基隆麥金分公司,基隆市安樂區麥金路201號地下1層之2、之3、之5,1,False,121.72113879999999,25.121708100000003
203,全聯實業股份有限公司,台中永春東分公司,臺中市南屯區大興里永春東路148、150、152、156、158號,1,False,120.65179230000001,24.135051300000004
204,全聯實業股份有限公司,豐原向陽分公司,臺中市豐原區中陽里向陽路126、130號及130號地下樓之1、之2,1,False,120.7242977,24.2520466
205,全聯實業股份有限公司,新竹延平分公司,新竹市北區客雅里延平路1段214巷10、12號,1,False,120.9540533,24.805368200000004
206,全聯實業股份有限公司,永康中華西分公司,臺南市永康區安康里中華路735、737、739號,1,False,120.22702989999999,23.0178419
207,全聯實業股份有限公司,士林芝山分公司,臺北市士林區忠誠里忠誠路一段56號1樓,1,False,121.52706090000001,25.1046861
208,全聯實業股份有限公司,永靖新興分公司,彰化縣永靖鄉瑚璉村新興路53號,1,False,120.55184999999999,23.925721
209,全聯實業股份有限公司,鼓山新疆分公司,高雄市鼓山區忠正里新疆路91號,1,False,120.278307,22.656334999999995
210,全聯實業股份有限公司,大里爽文分公司,臺中市大里區永隆里爽文路879號,1,False,120.67469499999999,24.1091181
211,全聯實業股份有限公司,八德興豐分公司,桃園市八德區興仁里興豐路392、396、398號,1,False,121.2887945,24.9293093
212,全聯實業股份有限公司,中和華夏分公司,新北市中和區工專路28、30號1樓,1,False,121.5070329,24.9810374
213,全聯實業股份有限公司,松山健康分公司,臺北市松山區自強里健康路243號地下一層,1,False,121.563336,25.0543848
214,全聯實業股份有限公司,鼓山美術南分公司,高雄市鼓山區龍水里美術南三路231、233號,1,False,120.2861591,22.653008399999997
215,全聯實業股份有限公司,左營文康分公司,高雄市左營區新光里文康路85號,1,False,120.303476,22.6730669
216,全聯實業股份有限公司,數位服務分公司,臺北市中山區金泰里敬業四路33號8樓,1,False,121.55814,25.080950899999998
217,全聯實業股份有限公司,新店中央分公司,新北市新店區中央里中央五街60號,1,False,121.52782930000001,24.975304599999998
218,全聯實業股份有限公司,土城中州分公司,新北市土城區頂福里中州路28巷30號1樓及2樓,1,False,121.4147093,24.9580658
219,全聯實業股份有限公司,湖口中山分公司,新竹縣湖口鄉中正村中山路一段726、728號、溪南二街53號,1,False,121.04293330000002,24.897564
220,全聯實業股份有限公司,芎林文德分公司,新竹縣芎林鄉芎林村文德路38、40號,1,False,121.0764575,24.776454599999997
221,全聯實業股份有限公司,中和安邦分公司,新北市中和區連城里安邦街18號,1,False,121.495914,24.9977342
222,全聯實業股份有限公司,新竹關新西分公司,新竹市東區關新里關新西街163、165號,1,False,121.0199455,24.789010599999997
223,全聯實業股份有限公司,竹北莊敬南分公司,新竹縣竹北市鹿場里莊敬南路125、127、129、131號,1,False,121.02012780000001,24.816076900000002
224,全聯實業股份有限公司,林口仁愛分公司,新北市林口區仁愛路2段196之1、196之2、198、198之1、198之2、198之3,1,False,121.3797364,25.0738966
226,全聯實業股份有限公司,台北縣泰山分公司,新北市泰山區明志路3段87號1樓,1,False,121.4252363,25.0414063
228,全聯實業股份有限公司,台南永成分公司,臺南市南區永成路3段523號,1,False,120.19521159999998,22.9739707
229,全聯實業股份有限公司,善化中正分公司,臺南市善化區中正路419號1樓,1,False,120.293856,23.1288201
230,全聯實業股份有限公司,台北和德分公司,臺北市萬華區西園路2段217號1樓,1,False,121.4941697,25.0270545
231,全聯實業股份有限公司,羅東倉前分公司,宜蘭縣羅東鎮公正里倉前路49號1樓,1,False,121.7711644,24.680359199999998
232,全聯實業股份有限公司,台中東平分公司,臺中市太平區東平里東平路499號1樓,1,False,120.719112,24.133491
233,全聯實業股份有限公司,屏東東港分公司,屏東縣東港鎮東興里10鄰長春一路80號1樓,1,False,120.45729414999997,22.4735856
235,全聯實業股份有限公司,台北縣大觀分公司,新北市板橋區大觀路3段236號地下一層,1,False,121.42962910000001,24.992202599999995
236,全聯實業股份有限公司,台北縣三重分公司,新北市三重區光明里重安街70號2樓,1,False,121.49137739999999,25.057111400000004
237,全聯實業股份有限公司,宜蘭復興分公司,宜蘭縣宜蘭市復興路2段36號1樓,1,False,121.74892990000001,24.748847299999998
238,全聯實業股份有限公司,松山中崙分公司,臺北市松山區吉仁里八德路3段106巷1號1樓,1,False,121.55368729999999,25.0479001
239,全聯實業股份有限公司,鵬程分公司,臺北市松山區健康路399號1樓,1,False,121.56882850000001,25.0546718
241,全聯實業股份有限公司,中和南華分公司,新北市中和區南山里南華路27號地下1層,1,False,121.50298649999999,24.996081099999998
243,全聯實業股份有限公司,基隆信義分公司,基隆市信義區義六路5之1號底層,1,False,121.75089740000001,25.1289615
244,全聯實業股份有限公司,中正華山分公司,臺北市中正區忠孝東路一段86號1樓,1,False,121.52442169999998,25.0441375
246,全聯實業股份有限公司,台中潭陽分公司,臺中市潭子區潭子街1段31巷64號1樓,1,False,120.7064554,24.2119962
247,全聯實業股份有限公司,基隆中正分公司,基隆市中正區中正路389號、389-1~389-7號,1,False,121.7653381,25.150490599999994
248,全聯實業股份有限公司,台南金華分公司,臺南市南區金華路2段85號1樓,1,False,120.19112309999998,22.979280400000004
250,全聯實業股份有限公司,花蓮建國分公司,花蓮縣吉安鄉建國路1段119之3號1樓,1,False,121.6068631,23.9828273
252,全聯實業股份有限公司,南投北門分公司,南投縣埔里鎮自強路80號1樓,1,False,120.97218509999999,23.9670462
253,全聯實業股份有限公司,冬山香和分公司,宜蘭縣冬山鄉冬山路1段837號1樓,1,False,121.7883823,24.6353969
254,全聯實業股份有限公司,土城裕民分公司,新北市土城區裕民路116號地下一樓,1,False,121.45101330000001,24.9864701
255,全聯實業股份有限公司,台北縣金城分公司,新北市土城區金城路3段12號地下1層之1,1,False,121.46496639999998,24.9860494
256,全聯實業股份有限公司,大武崙分公司,基隆市安樂區基金一路135巷21弄2－2號1樓,1,False,121.7094215,25.1402118
258,全聯實業股份有限公司,萬華龍山分公司,臺北市萬華區廣州街263號1樓,1,False,121.49648499999999,25.036889199999994
259,全聯實業股份有限公司,基隆光華分公司,基隆市仁愛區成功一路133巷1號地下1層,1,False,121.73638650000001,25.128452699999997
260,全聯實業股份有限公司,平鎮南豐分公司,桃園市平鎮區湧光里南豐路55號1樓,1,False,121.20939899999998,24.9001846
